COURSE.SECTIONS.ID,SEC.TERM,SEC.COURSE,SEC.NAME,SEC.NO,SEC.USER1,SEC.USER6,SEC.LOCATION,SEC.LOCATION.DESC.CC,SEC.CAPACITY,SEC.EVERY.STUDENT.COUNT,SEC.STUDENTS.COUNT,SEC.AUDIT.STUDENT.COUNT,SEC.ACAD.LEVEL,SEC.CRED.TYPE,SEC.MIN.CRED,SEC.MAX.CRED,SEC.BILLING.CRED,XSEC.FTE.COUNT,XSEC.FTE.CONTACT,SEC.CEUS,SEC.CONTACT.HOURS,SEC.COURSE.LEVELS,SEC.STATUS.ACTION1,SEC.STATUS,DataDatetime
27667,2017SP,S12830,HOR-152-01,1,TR,,MC,Main Campus,20,7,7,0,CU,IN,1,0,1,6,48,0,3,"AAS, DIP, CER",1,A,2018-03-03T02:06:28.572Z
27668,2017SP,S23384,HOR-164-01,1,TR,,MC,Main Campus,20,9,9,0,CU,IN,3,0,3,8,64,0,"2.00, 2.00","AAS, DIP, CER",1,A,2018-03-03T02:06:28.572Z
27669,2017SP,S11552,HOR-265-01,1,TR,,MC,Main Campus,20,6,6,0,CU,IN,2,0,2,5,48,0,"1.00, 2.00","AAS, DIP, CER",1,A,2018-03-03T02:06:28.588Z
27670,2017SP,S13721,HUM-130-H01,H01,TR,,MC,Main Campus,25,0,0,0,CU,IN,3,0,3,0,48,0,3,"CAA, AAS, DIP, CER",2,C,2018-03-03T02:06:28.588Z
27671,2017SP,S24055,HUM-115-IN1,IN1,IN,,OL,Online Cu Classes,30,36,36,0,CU,IN,3,0,3,29,48,0,3,"CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:28.588Z
27672,2017SP,S12973,HUM-120-Y1,Y1,HY,,MC,Main Campus,15,15,15,0,CU,IN,3,0,3,9,48,0,3,"CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:28.603Z
27673,2017SP,S11527,HUM-220-01,1,TR,,MC,Main Campus,25,24,24,0,CU,IN,3,0,3,21,48,0,3,"CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:28.603Z
27674,2017SP,S11527,HUM-220-02,2,TR,,MC,Main Campus,20,0,0,0,CU,IN,3,0,3,0,48,0,3,"CAA, AAS, DIP, CER",2,C,2018-03-03T02:06:28.619Z
27675,2017SP,S11527,HUM-220-IN1,IN1,IN,,OL,Online Cu Classes,30,31,31,0,CU,IN,3,0,3,29,48,0,3,"CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:28.619Z
27676,2017SP,S16395,HUM-160-H01,H01,TR,,MC,Main Campus,20,18,18,0,CU,IN,3,0,3,14,64,0,"2.00, 2.00","CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:28.634Z
27677,2017SP,S23642,DRE-097-IN1,IN1,IN,,OL,Online Cu Classes,20,12,12,0,CU,DE,3,0,3,8,56,0,"2.50, 1.00",DEV,1,A,2018-03-03T02:06:28.634Z
27678,2017SP,S23642,DRE-097-N1,N1,WB,,MC,Main Campus,20,0,0,0,CU,DE,3,0,3,0,56,0,"2.50, 1.00",DEV,2,C,2018-03-03T02:06:28.634Z
27680,2017SP,S23695,EDU-146-INA1,INA1,IN,,OL,Online Cu Classes,30,27,27,0,CU,IN,3,0,3,12,48,0,3,"AAS, DIP, CER",1,A,2018-03-03T02:06:28.650Z
27681,2017SP,S23728,EDU-254-INA1,INA1,IN,,OL,Online Cu Classes,30,24,24,0,CU,IN,2,0,2,14,48,0,"1.00, 2.00","AAS, DIP, CER",1,A,2018-03-03T02:06:28.666Z
27682,2017SP,S24022,ENG-111-02,2,TR,,MC,Main Campus,20,23,23,0,CU,IN,3,0,3,14,48,0,3,"CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:28.666Z
27683,2017SP,S24024,ENG-112-03,3,TR,,MC,Main Campus,20,24,24,0,CU,IN,3,0,3,17,48,0,3,"CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:28.666Z
27684,2017SP,S24024,ENG-112-04,4,TR,,MC,Main Campus,22,22,22,0,CU,IN,3,0,3,18,48,0,3,"CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:28.681Z
27685,2017SP,S24024,ENG-112-05,5,TR,,MC,Main Campus,20,24,24,0,CU,IN,3,0,3,18,48,0,3,"CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:28.681Z
27686,2017SP,S24024,ENG-112-IN1,IN1,IN,,OL,Online Cu Classes,40,40,40,0,CU,IN,3,0,3,33,48,0,3,"CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:28.681Z
27687,2017SP,S24024,ENG-112-INA1,INA1,IN,,OL,Online Cu Classes,25,28,28,0,CU,IN,3,0,3,19,48,0,3,"CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:28.697Z
27688,2017SP,S24024,ENG-112-N1,N1,TR,,MC,Main Campus,20,3,3,0,CU,IN,3,0,3,0,48,0,3,"CAA, AAS, DIP, CER",2,C,2018-03-03T02:06:28.697Z
27689,2017SP,S16350,ENG-125-01,1,TR,,MC,Main Campus,20,13,13,0,CU,IN,3,0,3,10,48,0,3,"CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:28.713Z
27690,2017SP,S24025,ENG-231-01,1,TR,,MC,Main Campus,20,22,22,1,CU,IN,3,0,3,16,48,0,3,"CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:28.713Z
27691,2017SP,S24026,ENG-232-01,1,TR,,MC,Main Campus,20,25,25,0,CU,IN,3,0,3,18,48,0,3,"CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:28.728Z
27692,2017SP,S24026,ENG-232-IN1,IN1,IN,,OL,Online Cu Classes,25,27,27,0,CU,IN,3,0,3,22,48,0,3,"CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:28.728Z
27693,2017SP,L19755,FOR-123AB-01,1,TR,,MC,Main Campus,24,16,16,0,CU,IN,2,0,2,14,32,0,2,"AAS, DIP, CER",1,A,2018-03-03T02:06:28.728Z
27694,2017SP,L19756,FOR-123BB-60,60,TR,,MC,Main Campus,12,10,10,0,CU,IN,1,0,1,9,48,0,3,"AAS, DIP, CER",1,A,2018-03-03T02:06:28.744Z
27695,2017SP,L19756,FOR-123BB-61,61,TR,,MC,Main Campus,12,6,6,0,CU,IN,1,0,1,5,48,0,3,"AAS, DIP, CER",1,A,2018-03-03T02:06:28.744Z
27696,2017SP,L19764,FOR-131AB-01,1,TR,,MC,Main Campus,42,20,20,0,CU,IN,2,0,2,0,32,0,2,"AAS, DIP, CER",2,C,2018-03-03T02:06:28.744Z
27697,2017SP,L19764,FOR-131AB-02,2,TR,,MC,Main Campus,42,9,9,0,CU,IN,2,0,2,0,32,0,2,"AAS, DIP, CER",2,C,2018-03-03T02:06:28.759Z
27698,2017SP,L19765,FOR-131BB-60,60,TR,,MC,Main Campus,12,15,15,0,CU,IN,1,0,1,10,48,0,3,"AAS, DIP, CER",1,A,2018-03-03T02:06:28.759Z
27699,2017SP,L19765,FOR-131BB-61,61,TR,,MC,Main Campus,12,14,14,0,CU,IN,1,0,1,10,48,0,3,"AAS, DIP, CER",1,A,2018-03-03T02:06:28.775Z
27700,2017SP,L19765,FOR-131BB-62,62,TR,,MC,Main Campus,12,15,15,0,CU,IN,1,0,1,8,48,0,3,"AAS, DIP, CER",1,A,2018-03-03T02:06:28.775Z
27702,2017SP,L19765,FOR-131BB-63,63,TR,,MC,Main Campus,12,13,13,0,CU,IN,1,0,1,11,48,0,3,"AAS, DIP, CER",1,A,2018-03-03T02:06:28.791Z
27703,2017SP,L19765,FOR-131BB-64,64,TR,,MC,Main Campus,12,12,12,0,CU,IN,1,0,1,8,48,0,3,"AAS, DIP, CER",1,A,2018-03-03T02:06:28.791Z
27704,2017SP,S11227,FOR-171-IN1,IN1,IN,,OL,Online Cu Classes,20,14,14,0,CU,IN,3,0,3,13,48,0,3,"AAS, DIP, CER",1,A,2018-03-03T02:06:28.791Z
27705,2017SP,L19772,FOR-212AB-01,1,TR,,MC,Main Campus,44,44,44,0,CU,IN,2,0,2,44,32,0,2,AAS,1,A,2018-03-03T02:06:28.806Z
27706,2017SP,L19773,FOR-212BB-60,60,TR,,MC,Main Campus,15,16,16,0,CU,IN,1,0,1,15,48,0,3,AAS,1,A,2018-03-03T02:06:28.806Z
27707,2017SP,L19773,FOR-212BB-N61,N61,TR,,MC,Main Campus,14,14,14,0,CU,IN,1,0,1,14,48,0,3,AAS,1,A,2018-03-03T02:06:28.822Z
27708,2017SP,L19773,FOR-212BB-62,62,TR,,MC,Main Campus,15,15,15,0,CU,IN,1,0,1,15,48,0,3,AAS,1,A,2018-03-03T02:06:28.822Z
27710,2017SP,L19787,FOR-271AB-01,1,TR,,MC,Main Campus,28,24,24,0,CU,IN,2,0,2,23,32,0,2,"AAS, DIP, CER",1,A,2018-03-03T02:06:28.838Z
27711,2017SP,L19788,FOR-271BB-60,60,TR,,MC,Main Campus,14,15,15,0,CU,IN,1,0,1,14,48,0,3,"AAS, DIP, CER",1,A,2018-03-03T02:06:28.838Z
27712,2017SP,L19788,FOR-271BB-N61,N61,TR,,MC,Main Campus,14,10,10,0,CU,IN,1,0,1,9,48,0,3,"AAS, DIP, CER",1,A,2018-03-03T02:06:28.853Z
27713,2017SP,S13606,FOR-275-01,1,TR,,MC,Main Campus,15,16,16,0,CU,IN,1,0,1,15,48,0,3,"AAS, DIP, CER",1,A,2018-03-03T02:06:28.853Z
27729,2017SP,S23935,MAT-172-02,2,WB,,MC,Main Campus,25,27,27,0,CU,IN,4,0,4,25,80,0,"3.00, 2.00","CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:28.963Z
27732,2017SP,S13027,CHM-090-01,1,TR,,MC,Main Campus,0,0,0,0,CU,DE,4,0,4,0,64,0,4,DEV,2,C,2018-03-03T02:06:28.978Z
27733,2017SP,S11107,PED-122-01,1,TR,,MC,Main Campus,12,2,2,0,CU,IN,1,0,1,0,32,0,2,"CAA, AAS, DIP, CER",2,C,2018-03-03T02:06:28.978Z
27745,2017SP,S14156,BIO-140-01,1,TR,,MC,Main Campus,24,15,15,0,CU,IN,3,0,3,9,48,0,3,"CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:29.056Z
27746,2017SP,S13084,BIO-140A-60,60,WB,,MC,Main Campus,24,14,14,0,CU,IN,1,0,1,9,48,0,3,"CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:29.072Z
27750,2017SP,S11629,BIO-169-02,2,TR,,MC,Main Campus,24,12,12,0,CU,IN,4,0,4,9,96,0,"3.00, 3.00","CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:29.088Z
27752,2017SP,S13606,FOR-275-02,2,TR,,MC,Main Campus,14,14,14,0,CU,IN,1,0,1,12,48,0,3,"AAS, DIP, CER",1,A,2018-03-03T02:06:29.103Z
27753,2017SP,S23642,DRE-097-A1,A1,WB,,MC,Main Campus,20,2,2,0,CU,DE,3,0,3,0,56,0,"2.50, 1.00",DEV,2,C,2018-03-03T02:06:29.119Z
27755,2017SP,S23643,DRE-098-01,1,WB,,MC,Main Campus,20,0,0,0,CU,DE,3,0,3,0,56,0,"2.50, 1.00",DEV,2,C,2018-03-03T02:06:29.134Z
27756,2017SP,S23643,DRE-098-01,1,WB,,MC,Main Campus,20,11,11,0,CU,DE,3,0,3,8,56,0,"2.50, 1.00",DEV,1,A,2018-03-03T02:06:29.134Z
27758,2017SP,S23643,DRE-098-NA1,NA1,WB,,MC,Main Campus,20,7,7,0,CU,DE,3,0,3,3,56,0,"2.50, 1.00",DEV,1,A,2018-03-03T02:06:29.150Z
27759,2017SP,S23643,DRE-098-IN1,IN1,IN,,OL,Online Cu Classes,20,21,21,0,CU,DE,3,0,3,16,56,0,"2.50, 1.00",DEV,1,A,2018-03-03T02:06:29.150Z
27760,2017SP,S23643,DRE-098-A2,A2,WB,,MC,Main Campus,20,3,3,0,CU,DE,3,0,3,0,56,0,"2.50, 1.00",DEV,2,C,2018-03-03T02:06:29.150Z
27774,2017SP,S23643,DRE-098-INA1,INA1,IN,,OL,Online Cu Classes,20,11,11,0,CU,DE,3,0,3,4,56,0,"2.50, 1.00",DEV,1,A,2018-03-03T02:06:29.244Z
27775,2017SP,S24022,ENG-111-01,1,TR,,MC,Main Campus,20,13,13,0,CU,IN,3,0,3,9,48,0,3,"CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:29.244Z
27777,2017SP,S24022,ENG-111-03,3,TR,,MC,Main Campus,20,20,20,0,CU,IN,3,0,3,13,48,0,3,"CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:29.259Z
27778,2017SP,S24022,ENG-111-A1,A1,TR,,MC,Main Campus,20,7,7,0,CU,IN,3,0,3,5,48,0,3,"CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:29.275Z
27779,2017SP,S24022,ENG-111-05,5,TR,,MC,Main Campus,20,17,17,0,CU,IN,3,0,3,13,48,0,3,"CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:29.275Z
27780,2017SP,S24022,ENG-111-06,6,TR,,MC,Main Campus,20,17,17,0,CU,IN,3,0,3,12,48,0,3,"CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:29.291Z
27781,2017SP,S24022,ENG-111-07,7,TR,,MC,Main Campus,20,16,16,0,CU,IN,3,0,3,9,48,0,3,"CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:29.291Z
27782,2017SP,S24022,ENG-111-IN1,IN1,IN,,OL,Online Cu Classes,20,22,22,0,CU,IN,3,0,3,17,48,0,3,"CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:29.306Z
27783,2017SP,S24022,ENG-111-IN2,IN2,IN,,OL,Online Cu Classes,20,24,24,0,CU,IN,3,0,3,18,48,0,3,"CAA, AAS, DIP, CER",1,A,2018-03-03T02:06:29.306Z
27784,2017SP,S24022,ENG-111-08,8,TR,,HTC,Regional High Technology Cente,20,9,9,0,CU,IN,3,0,3,0,48,0,3,"CAA, AAS, DIP, CER",2,C,2018-03-03T02:06:29.306Z
