"NON.COURSES.ID","NCRS.DESC","NCRS.SHORT.TITLE","NCRS.CAT.DESC.CC","NCRS.DESIRED.GRADES","NCRS.GRADE.SCHEME","NCRS.DESIRED.SCORE","NCRS.COURSE.EQUIVS","NCRS.MIN.SCORE","NCRS.MAX.SCORE","NCRS.TYPE","DataDatetime"
"CLEPSOC","","CLEP Sociology","Other Test","","CU","50","262477","1","100","TEST","2020-01-31T23:03:18.161Z"
"CHAL","","Challenge Exam","Other Test","","","85","","0","100","TEST","2020-01-31T23:03:18.161Z"
"DMA080","Diagnostic exam for DMA 080 Radical Expressions","DMA080 Radical Expressions","Other Test","","","7","321326","1","12","TEST","2020-01-31T23:03:18.161Z"
"BLET","","BLET Certification","Other Test","","","0","328023","9999","9999","CERT","2020-01-31T23:03:18.161Z"
"RSAT16RW","=RISE SAT16 no ENG credits from other sources, Student has taken SAT15 R/W test score 480+","RISE SAT16 All Eng","Admissions","","","0","346637","480","0","TEST","2020-01-31T23:03:18.161Z"
"RACT12MN","=RISE ACT Math from 1/7/12-2/28/14 No credits","RISE ACT Math No Credits","Admissions","","","0","346682","22","0","TEST","2020-01-31T23:03:18.161Z"
"WVRDMA050","WVR DMA 050","WVRDMA050","Placement","","","0","329941","0","0","","2020-01-31T23:03:18.161Z"
"RHISETEP","=RISE HISET All except MAT dev waiver, 4 on essay, required. MAT-003 rec'd from other source","RISE HISET All except MAT dev","Placement","","","0","346691","15","0","PLC","2020-01-31T23:03:18.161Z"
"TPAGMECHII","","Tech Prep Ag Mechanics II","Other Test","","","80","264042","0","100","TEST","2020-01-31T23:03:18.161Z"
"SAT16WR","SAT 2016 Evidence-Based Reading & Writing","DO NOT USE!!!!!!!","Placement","","","480","332280","200","800","TEST","2020-01-31T23:03:18.161Z"
"TPWELD7662","HS Course ID 7662","Tech Prep Welding II 7662","Other Test","","","93","321794","0","100","TEST","2020-01-31T23:03:18.161Z"
"CLEPSCI","","CLEP Natural Sciences","Other Test","","","42","264107","20","80","TEST","2020-01-31T23:03:18.161Z"
"NCCTW","NC Competency Test in Writing","Writing Comp Test","Other Test","","","0","","0","0","TEST","2020-01-31T23:03:18.161Z"
"CLEPGOVT","American Government","CLEP American Government","Other Test","","","47","264104","20","80","TEST","2020-01-31T23:03:18.161Z"
"12TPMS","HS Course ID 6417 and 6419","Tech Prep MS 6417 and 6419","Other Test","","","93","321792","0","100","TEST","2020-01-31T23:03:18.161Z"
"TPEDU119","Early Child Ed I & II credit","Tech Prep Edu 119","Other Test","","","93","344357","93","100","TEST","2020-01-31T23:03:18.161Z"
"RISEE1","RISE ENGLISH TIER 1","RISEE1","Placement","","","75","345835","1","100","TEST","2020-01-31T23:03:18.161Z"
"APWCIV","AP Western Civilization","AP Western Civilization I","Other Test","","","3","263001","1","5","TEST","2020-01-31T23:03:18.161Z"
"CCPRGPAE28","=RISE 2.8+ GPA English only","Rise 2.8+ English Only","Admissions","","","0","346626","0","0","HSGPA","2020-01-31T23:03:18.161Z"
"RSAT12MN","=RISE SAT12 student has rec'd Math waivers from, other sources. SAT score between 1/1/12 & 2/29/16","RISE SAT12 Math No credit","Admissions","","","0","346646","500","0","TEST","2020-01-31T23:03:18.176Z"
"RSAT12R22","=RISE SAT12 student has other Reading dev wvr, (ENG-002) from GPA 2.2-2.799","RISE SAT12 Reading no dev wvr","Admissions","","","0","346648","500","0","TEST","2020-01-31T23:03:18.176Z"
"RSATM22","=RISE SAT Math, prior to 1/1/12, student has dev, Math waiver (MAT-003)","RISE SAT Math, no dev","Admissions","","","0","346654","510","0","TEST","2020-01-31T23:03:18.176Z"
"RACT14E22","=RISE ACT English prior to 3/1/14 no, developmental waiver (ENG-002). Student received, ENG-002 from GPA 2.2-2.799","RISE ACT English no dev wvr","Admissions","","","0","346664","18","0","TEST","2020-01-31T23:03:18.176Z"
"RACT14M","=RISE ACT Math prior to 3/1/14 developmental, waiver only","RISE ACT Math dev wvr","Admissions","","","0","346670","20","21","TEST","2020-01-31T23:03:18.176Z"
"HESI","","HESI Exam","Admissions","","","0","","0","100","TEST","2020-01-31T23:03:18.176Z"
"RGEDE","=RISE GED ENG waivers only. Math waivers awarded, from other sources.","RISE GED ENG waivers","Placement","","","0","346684","170","0","CERT","2020-01-31T23:03:18.176Z"
"RASSOCM","=RISE Assoc MATH waivers only. ENG waivers rec'd, from other source.","RISE Assoc Math waivers only","Admissions","","","0","346706","0","0","CERT","2020-01-31T23:03:18.176Z"
"RHGPA22MP","=RISE 2.2-2.799 GPA dev Math waivers, 1. GPA 2.2-2.799, 2. Student has received partial ENG waivers from, other sources","Rise 2.2+ Math Dev Waivers Oth","Admissions","","","0","346642","0","0","HSGPA","2020-01-31T23:03:18.176Z"
"SATC","SAT Composite Score","SAT Composite","Placement","","","0","","400","1600","TEST","2020-01-31T23:03:18.176Z"
"PTWSS","","Sent Skills Waiver","Placement","","","9999","13","9999","9999","TEST","2020-01-31T23:03:18.176Z"
"HGPAM","","GPA Math","High School GPA","44","HSGPA","0","331849","0","0","HSGPA","2020-01-31T23:03:18.176Z"
"CPTAR","Math Placement Test","CPT Arithmetic","Placement","","","0","7","1","120","TEST","2020-01-31T23:03:18.176Z"
"TPCOMPII","HS Course ID 6412","Tech Prep Comp App II","Other Test","","","80","263807","0","100","TEST","2020-01-31T23:03:18.176Z"
"HGPA","Non Course for high school GPA","GPA ENG & MATH","High School GPA","44","HSGPA","0","332278","0","0","HSGPA","2020-01-31T23:03:18.176Z"
"PTCHM","","Chemistry Placement Test","Placement","","","0","262481, 331927","0","100","TEST","2020-01-31T23:03:18.176Z"
"PSATEN","","PSAT English No Credit","Placement","","","0","","0","50","TEST","2020-01-31T23:03:18.176Z"
"SAT16RW","SAT 2016 Evidence-Based Reading & Writing","SAT 2016 Reading & Writing","Placement","","","480","333396","200","800","TEST","2020-01-31T23:03:18.176Z"
"DREW96","","WAIVER DRE 096","Placement","","","9999","322856","9999","9999","TEST","2020-01-31T23:03:18.176Z"
"DMAW5080","","WAIVER DMA 050 - DMA 080","Other Test","","","8888","322861","8888","8888","TEST","2020-01-31T23:03:18.176Z"
"WINAM","WIN Pre-Test Applied Mathematics","WIN Applied Mathematics","Other Test","","","0","","0","0","TEST","2020-01-31T23:03:18.176Z"
"TPDRAFTIII","","TechPrep Draft Arch I,II,III","Other Test","","","80","263008","0","100","TEST","2020-01-31T23:03:18.176Z"
"RISEE2","RISE ENGLISH TIER 2","RISEE2","Placement","","","75","345836","1","100","TEST","2020-01-31T23:03:18.176Z"
"RACT14RS","=RISE ACT Reading prior to 3/1/14 no, developmental waiver (ENG-002)","RISE ACT Reading no dev wvr","Admissions","","","0","346667","22","0","TEST","2020-01-31T23:03:18.176Z"
"RACT12E22","=RISE ACT English 1/7/12-2/28/14 no developmental, waivers (ENG-002). ENG-002 rec'd from GPA, 2.2-2.799","RISE ACT English no dev wvr","Admissions","","","0","346675","18","0","TEST","2020-01-31T23:03:18.176Z"
"RASSOCN","=RISE Assoc no waivers, all waiversawarded from, other sources","RISE Assoc no waivers","Admissions","","","0","346709","0","0","CERT","2020-01-31T23:03:18.176Z"
"RHGPAM22","=RISE 2.2-2.799 GPA, used for the following, conditions:, 1. GPA is 2.2-2.799, 2. Math courses credits have been awarded from, other sources.","Rise 2.2+ Math Dev Only","Admissions","","","0","346631","0","0","HSGPA","2020-01-31T23:03:18.176Z"
"TPPERFIN","","Tech Prep Per Finance 7086","Other Test","","","93","321777","0","100","TEST","2020-01-31T23:03:18.176Z"
"DMA060","Diagnostic test for DMA060 Polynomials and Quadrat","DMA060 Polynomials and Quadra","Other Test","","","7","321324","1","12","TEST","2020-01-31T23:03:18.176Z"
"CRCRI","","CRC Reading for Information","Other Test","","","0","","0","0","TEST","2020-01-31T23:03:18.176Z"
"TPCOMPENGI","","Tech Prep Comp Engineer I & II","Other Test","","","80","263808","0","100","TEST","2020-01-31T23:03:18.176Z"
"APCIS","","AP Computer Science","Other Test","","","3","315585","1","4","TEST","2020-01-31T23:03:18.176Z"
"SAT16RWN","SAT 2016 NO Credits","SAT16RW NO Credits","Placement","","","0","332549","0","0","TEST","2020-01-31T23:03:18.176Z"
"DMAW70","DMA 070 Waiver; completed DMA 070 at another CC","DMA 070 Waiver","Other Test","","","5555","321333","5555","5555","TEST","2020-01-31T23:03:18.176Z"
"APENVSCI","","AP Environmental Science","Other Test","","","3","264041","1","5","TEST","2020-01-31T23:03:18.176Z"
"PTWAREA","","DO NOT USE PTWaivArith&ElAlg","Placement","","","0","315188","7777","7777","TEST","2020-01-31T23:03:18.176Z"
"WPTLI","WIN POST TEST Locating Information","WIN POST Locating Info","Other Test","","","0","","0","0","TEST","2020-01-31T23:03:18.176Z"
"TPSPMKTI","HS Course ID 6670","Tech Prep Sports/Ent Mkt I","Other Test","","","93","317131","0","100","TEST","2020-01-31T23:03:18.176Z"
"TPWELDII","HS Course ID 7661 and 7662","Tech Prep Weld I&II 7661&7662","Other Test","","","93","315073","1","100","TEST","2020-01-31T23:03:18.192Z"
"WVRDMA030","WVR DMA 030","WVRDMA030","Placement","","","0","329940","0","0","","2020-01-31T23:03:18.192Z"
"COMW","English Placement Test","COMPASS Writing","Placement","","","0","262282","0","100","TEST","2020-01-31T23:03:18.192Z"
"12HEASCIII","HS Course ID 7242","Tech Prep Health Sci II 7242","Other Test","","","93","321796","0","100","TEST","2020-01-31T23:03:18.192Z"
"PSATWS","","PSAT Writing Skills","Placement","","","45","316430","20","80","TEST","2020-01-31T23:03:18.192Z"
"DREW97","","WAIVER DRE 097","Placement","","","9999","322857","9999","9999","TEST","2020-01-31T23:03:18.192Z"
"PSATM","","PSAT Mathematics","Placement","","","47","315584, 337969","0","100","TEST","2020-01-31T23:03:18.192Z"
"HGPAN","GPA No Credits","GPA NO Credits","High School GPA","44","HSGPA","0","","0","0","HSGPA","2020-01-31T23:03:18.192Z"
"RHGPA28MP","=RISE 2.8+ already has MAT dev waiver, Includes students with HS GPA 2.8+, Students have received partial Math course credit, from other source (MAT-003)","Rise 2.8+ Dev Math Other Waive","Admissions","","","0","346641","0","0","HSGPA","2020-01-31T23:03:18.192Z"
"RSATW","=RISE SAT Writing prior to 1/1/12 all waivers","RISE SAT Writing all waivers","Admissions","","","0","346659","510","0","TEST","2020-01-31T23:03:18.192Z"
"RBACH22","=RISE Bachlor no dev credits awarded. MAT-003 &, ENG-002 awarded GPA 2.2-2.799","RISE Bachelor no dev credits","Admissions","","","0","346696","0","0","CERT","2020-01-31T23:03:18.192Z"
"ACTC","ACT Composite Score","ACT Composite","Placement","","","21","2","21","36","TEST","2020-01-31T23:03:18.192Z"
"ACTSS","ACT Social Science Admissions Test","ACT Social Science","Placement","","","0","","1","36","TEST","2020-01-31T23:03:18.192Z"
"PLANM","","PLAN Mathematics","Placement","","","19","316433","1","32","TEST","2020-01-31T23:03:18.192Z"
"12TPDRAFT","HS Course ID 7921","Tech Prep Drafting I 7921","Other Test","","","93","321797","0","100","TEST","2020-01-31T23:03:18.192Z"
"DREW98","","WAIVER DRE 098","Placement","","","9999","322858","9999","9999","TEST","2020-01-31T23:03:18.192Z"
"COMA","Math Placement Test","COMPASS Algebra","Placement","","","0","262285","0","100","TEST","2020-01-31T23:03:18.192Z"
"APMAT","AP Math Calculus AB","AP Calculus AB","Other Test","","CU","3","262345","1","5","TEST","2020-01-31T23:03:18.192Z"
"AEDMA","","DMA - Adult Ed","Placement","","","0","","1","1","TEST","2020-01-31T23:03:18.192Z"
"CCPRGPAN28","=RISE 2.8+ GPA NO CREDITS","Rise 2.8+ No Credits","Admissions","","","0","346628","0","0","HSGPA","2020-01-31T23:03:18.192Z"
"RACT12RN","=RISE ACT Reading from 1/7/12-2/28/14 no credits., Credits received from other source","RISE ACT Reading no credits","Admissions","","","0","346679","21","0","TEST","2020-01-31T23:03:18.192Z"
"RACT12M","=RISE ACT Math from 1/7/12-2/28/14 all credits","RISE ACT Math all credits","Admissions","","","0","346680","22","0","TEST","2020-01-31T23:03:18.192Z"
"DRERED","","DRE Reading","Other Test","","","0","","100","200","TEST","2020-01-31T23:03:18.192Z"
"RBACHMP","=RISE Bachelor All wvr except dev ENG., ENG-002 waiver rec'd from other source","RISE Bachelor all no dev ENG","Admissions","","","0","346700","0","0","CERT","2020-01-31T23:03:18.192Z"
"PTWEA","","DO NOT USE Elem Alg Waiver","Placement","","","9999","9","9999","9999","TEST","2020-01-31T23:03:18.207Z"
"PACTM","","Pre ACT Math","Placement","","","22","334803","1","36","TEST","2020-01-31T23:03:18.207Z"
"COLLVLMAT","","College Level Math PT","Placement","","","0","330458","1","140","TEST","2020-01-31T23:03:18.207Z"
"APARTHIS","Art History","AP Art History","Other Test","","","0","337270","1","5","TEST","2020-01-31T23:03:18.207Z"
"PTWAR","","DO NOT USE Arithmetic Waiver","Placement","","","9999","11","9999","9999","TEST","2020-01-31T23:03:18.207Z"
"CLEPHUM","","CLEP Humanities","Other Test","","","42","264108","20","80","TEST","2020-01-31T23:03:18.207Z"
"RSAT16M","=RISE SAT16 Math , Student has taken SAT16 Math test., No Math course credits from other, sources (GPA, ACT, RBACH, RASSOC)","RISE SAT16 All Math","Admissions","","","0","346634","530","0","TEST","2020-01-31T23:03:18.207Z"
"RSAT16M22","=RISE SAT16 Students have received Math course , credits from RHGPA22 (MAT-003)","RISE SAT16 Math W/O Dev","Admissions","","","0","346635","530","0","TEST","2020-01-31T23:03:18.207Z"
"RSAT12RN","=RISE SAT12 has Reading credit from other sources","RISE SAT12 Reading no credit","Admissions","","","0","346649","500","0","TEST","2020-01-31T23:03:18.207Z"
"RSATMN","=RISE SAT Math, prior to 1/1/12, no credit,, student has waivers from other source","RISE SAT Math No Credit","Admissions","","","0","346655","510","0","TEST","2020-01-31T23:03:18.207Z"
"ASTN","Math Placement Test","ASSET Numerical","Placement","","","0","262279","23","55","TEST","2020-01-31T23:03:18.207Z"
"RGED","=RISE GED Score All Waivers","RISE GED Score All Waivers","Placement","","","0","346683","170","0","CERT","2020-01-31T23:03:18.207Z"
"RACT14EN","=RISE ACT English no credits, taken prior to, 3/1/14","RISE ACT English no credits","Admissions","","","0","346665","16","17","TEST","2020-01-31T23:03:18.207Z"
"DMA040","Diagnostic test for DMA040 Express/LinEquat/Inequ","DMA040 Express/Lin Equat/Ineq","Other Test","","","7","321322","1","12","TEST","2020-01-31T23:03:18.207Z"
"DMAW50","DMA 050 Waiver; completed DMA 050 at another CC","DMA 050 Waiver","Other Test","","","5555","321331","5555","5555","TEST","2020-01-31T23:03:18.207Z"
"APPSY","Advanced Placement Psychology","AP Psychology","Other Test","","CU","3","262348","1","5","TEST","2020-01-31T23:03:18.207Z"
"TPCARPIII","HS Course ID 7723","Tech Prep Carpentry III 7723","Other Test","","","93","321789","0","100","TEST","2020-01-31T23:03:18.207Z"
"PTBIO","Biology Placement Test for A & P","Biology Placement Test","Placement","","CU","60","262475","0","100","TEST","2020-01-31T23:03:18.207Z"
"ACTE","ACT English Admissions Test","ACT English","Placement","","","0","316435, 331918","1","36","TEST","2020-01-31T23:03:18.207Z"
"RHGPA","=RISE <2.2 GPA No Credits","Rise <2.2 Gpa No Credits","Admissions","","","0","346633","0","0","HSGPA","2020-01-31T23:03:18.207Z"
"RSAT16RWN","=RISE SAT16 RW students have received English, course credits from other sources (GPA, ACT...), No R/W credits awarded","RISE SAT16 No Credits","Admissions","","","0","346639","480","0","TEST","2020-01-31T23:03:18.207Z"
"RACT14R","=RISE ACT All Credits, taken prior to 3/1/14.","RISE ACT Reading All credits","Admissions","","","0","346666","22","0","TEST","2020-01-31T23:03:18.207Z"
"RGEDMP","=RISE GED All credits except dev English. ENG-002, rec'd from other source","RISE GED All except dev ENG","Placement","","","0","346687","170","0","CERT","2020-01-31T23:03:18.207Z"
"APLIT","","AP English Literature/Comp","Other Test","","","3","327149","0","5","TEST","2020-01-31T23:03:18.207Z"
"ACCRCSS","","Accuplacer Reading & SS","Placement","","","0","326406","0","240","TEST","2020-01-31T23:03:18.207Z"
"TPEARCHILD","","Tech Prep Early Child Cred I","Other Test","","","80","263006","0","100","TEST","2020-01-31T23:03:18.207Z"
"APUSGOVPOL","US Govt & Politics","AP US Government & Politics","Other Test","","","0","339739","1","5","TEST","2020-01-31T23:03:18.207Z"
"TPDRAFTII","Drafting Architechture I & II","Tech Prep Draft Arch I & II","Other Test","","","80","263000","80","100","TEST","2020-01-31T23:03:18.207Z"
"TPMASON","","Tech Prep Mason I, II","Other Test","","","80","263810","0","100","TEST","2020-01-31T23:03:18.207Z"
"TPKEY","","Tech Prep Keyboarding","Other Test","","","80","262357","80","100","TEST","2020-01-31T23:03:18.207Z"
"COMCA","Math Placement Test","COMPASS College Algebra","Placement","","","0","262286","0","100","TEST","2020-01-31T23:03:18.207Z"
"DRECOMP","","DRE Composite Score","Other Test","","","0","329477","100","200","TEST","2020-01-31T23:03:18.207Z"
"PCR3104","Handbuilding I","PCR3104 Equals PCC121","Life Experience","48","CU","0","341397","0","0","LIFE","2020-01-31T23:03:18.207Z"
"WINRI","WIN Pre-Test Reading for Information","WIN Reading for Information","Other Test","","","0","","0","0","TEST","2020-01-31T23:03:18.207Z"
"PSAT16WLT","Pre SAT 2015 Writing and Language Test","Psat 15 Writing and Language T","Placement","","","26","","8","38","TEST","2020-01-31T23:03:18.207Z"
"CLEPHIS121","Western Civilization I","Clep Western Civilization I","Other Test","","","50","344957","20","80","TEST","2020-01-31T23:03:18.207Z"
"23","","**DO NOT USE** Tool Making","Other Noncourse Work","","CU","5555","","5555","5555","CERT","2020-01-31T23:03:18.207Z"
"RHGPAE22","=RISE GPA 2.2-2.799, used for the following, conditions:, 1. GPA is 2.2-2.799, 2. Students have received English course credits, from other sources","Rise 2.2+ English Dev Only","Admissions","","","0","346630","0","0","HSGPA","2020-01-31T23:03:18.223Z"
"RSAT12M22","=RISE SAT12 student has dev Math (MAT-003) from, other source","RISE SAT12 Math w/o dev","Admissions","","","0","346645","500","0","TEST","2020-01-31T23:03:18.223Z"
"RASSOCEP","=RISE Assoc all except dev MATH. MAT-003 rec'd, from other source","RISE Assoc all except dev MAT","Admissions","","","0","346705","0","0","CERT","2020-01-31T23:03:18.223Z"
