"ids","Alternate Dictionaries ","Computed Column Code ","Converted From ","Data Element Synonym ","Data Element Synonym Xref ","Data Type ","Database Usage Type ","Default Display Secure ","Default Display Size ","Default Input Processing ","Default Input Prompt ","Default Justification ","Default Mask ","Default Output Processing ","Default Sample Data ","Default Zero Pad ","Derived Sec Ptr ","Displayed By Xref ","Dt1 ","Dt2 ","Dt3 ","Dt4 ","Dt5 ","Element Assoc Name ","Element Assoc Type ","Element Pointed From ","Element Pointed To ","Field Placement ","I Descriptor ","Index Assn Name ","Index Assn Placement ","Inform Conversion String ","Inform Format String ","Input Prompt Location ","Input Prompt Variable ","Internal Computations ","Just Pad Character ","Key Counter Source ","Logical File Alias ","Lookup Prompt ","Maximum Storage Size ","Modified By Xref ","Permanent Demand Elements ","Permanent Demand Keys ","Permanent Demand Write ","Permanent Init Inserts ","Pointer Deletion Strategy ","Purpose ","Relation File Name ","Relfile Keybuild Strategy ","Report Header ","Sce From Files ","Sce Link Attrs ","Sce Link Subrs ","Sce Recalc Flag Field ","Sce Status Flag ","Sce Subr Args ","Sce Subr Name ","Sce Subr Sources ","Sce To Files ","Sce Trigger Cdds ","Snapshots ","Source ","Sql Compliant Name ","Synonym Field Delimiter ","Synonym Field Position ","Toolcdd Add Date ","Toolcdd Add Operator ","Toolcdd Auto Xref Files ","Toolcdd Auto Xref Keys ","Toolcdd Change Date ","Toolcdd Change Operator ","Toolcdd Demand Subrs ","Toolcdd Dict Changed Ver ","Toolcdd Idesc Smtype ","Toolcdd Lkup Add Mode ","Toolcdd Lkup Arg Var ","Toolcdd Lkup Attr Table ","Toolcdd Lkup Crnt Id Var ","Toolcdd Lkup File Inherit ","Toolcdd Lkup File Name ","Toolcdd Lkup Id List Var ","Toolcdd Lkup Limit New Size ","Toolcdd Lkup Nk Add Option ","Toolcdd Lkup Nk At Once ","Toolcdd Lkup Not Found Hook ","Toolcdd Lkup Post Reso Hook ","Toolcdd Lkup Pre Reso Hook ","Toolcdd Lkup Prompt Text ","Toolcdd Lkup Rec Add Hook ","Toolcdd Lkup Rec Found Hook ","Toolcdd Lkup Reso Hook ","Toolcdd Lkup Sel Conn ","Toolcdd Lkup Sel Field ","Toolcdd Lkup Sel Rel Opcode ","Toolcdd Lkup Sel Stmt ","Toolcdd Lkup Sel Value ","Toolcdd Lkup Sort Fields ","Toolcdd Lkup Sort Order ","Toolcdd Valid Platforms ","Truncation Flag ","Validation Table ","Validation Zero Fill Size ","Views "
"APPLICATION.CENTER.HEADER","","","","","","","D","N","21","","Menu's Centered Header","L","","","General Ledger","N","","","","","","","","","","","","2","","","","","21L","","","","","","","","35","","","","","","","The string which is to appear in the center of the 2nd, line of an application's menus.","","","","","","","","","","","","","","","APPL.CTL","APPLICATION_CENTER_HEADER","","0","1988-07-12","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","APPL_CTL_SQL"
"APPLICATION.CUSTOMER","","","","","","","L","N","6","","","L","","","D01","N","","","","","","","","","","","","21","","","","","6L","","","","","","","","0","","","","","","","Custom programming development occurs in a dedicated, application.  Ultimately this application is copied into, another application, where it replaces or adds to the, capabilities.  This field supplies the customer code.","","","","","","","","","","","","","","","APPL.CTL","APPLICATION_CUSTOMER","","0","1992-07-10","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","APPL_CTL_SQL"
"APPLICATION.DATA.REMOTE","","","","","","","D","N","20","$UC","Application Data Path","L","","","","N","","","","","","","","","","","","11","","","","","20L","","","","","","","","20","","","","","","","This field stores a default path where new files should, be created","","","","","","","","","","","","","","","APPL.CTL","APPLICATION_DATA_REMOTE","","0","1990-04-03","HHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","APPL_CTL_SQL"
"APPLICATION.DESCRIPTION","","","","","","","L","N","75","","Description","L","","","","N","","","","","","","","","","","","6","","","","","75L","","","","","","","","75","","","","","","","","","","","","","","","","","","","","","","APPL.CTL","APPLICATION_DESCRIPTION","","0","1988-07-12","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","APPL_CTL_SQL"
"APPLICATION.DICT.REMOTE","","","","","","","D","N","20","","","L","","","","N","","","","","","","","","","","","12","","","","","20L","","","","","","","","20","","","","","","","Account specific default where the applications, dictionaries should be created","","","","","","","","","","","","","","","APPL.CTL","APPLICATION_DICT_REMOTE","","0","1990-04-09","HHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","APPL_CTL_SQL"
"APPLICATION.ENTRY.PROC","","","","","","","D","N","30","$UC, * $CHECK.IF.CATALOGED","Application Entry Procedure","L","","","ENTRY.PROCEDURE","N","","","","","","","","","","","","14","","","","","30L","","","","","","","","30","","","","","","","This cataloged subroutine will be execute before the, application starts","","","","","","","","","","","","","","","APPL.CTL","APPLICATION_ENTRY_PROC","","0","1990-04-13","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","APPL_CTL_SQL"
"APPLICATION.ENVISION.DCODES","","","","","","","A","N","20","","","L","","","","N","","","","","","","","APPL.CTL.ENV.FILES","D","","","20","","","","","20L","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","APPL.CTL","APPLICATION_ENVISION_DCODES","","0","1990-12-21","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","APPL_CTL_SQL"
"APPLICATION.ENVISION.DICTS","","","","","","","A","N","20","","","L","","","","N","","","","","","","","APPL.CTL.ENV.FILES","D","","","19","","","","","20L","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","APPL.CTL","APPLICATION_ENVISION_DICTS","","0","1990-12-21","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","APPL_CTL_SQL"
"APPLICATION.ENVISION.FCODES","","","","","","","A","N","5","","","L","","","","N","","","","","","","","APPL.CTL.ENV.FILES","D","","","18","","","","","5L","","","","","","","","5","","","","","","","File codes associated with Envision files.","","","","","","","","","","","","","","","APPL.CTL","APPLICATION_ENVISION_FCODES","","0","1990-12-21","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","APPL_CTL_SQL"
"APPLICATION.ENVISION.FILES","","","","","","","A","N","20","","","L","","","","N","","","","","","","","APPL.CTL.ENV.FILES","K","","","17","","","","","20L","","","","","","","","20","","","","","","","Image of FILE.TEMPLATE at time of application creation, Associated with file codes here since do not have, FILE.SPECS records for theses files.","","","","","","","","","","","","","","","APPL.CTL","APPLICATION_ENVISION_FILES","","0","1990-12-21","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","APPL_CTL_SQL"
"APPLICATION.EXIT.PROC","","","","","","","D","N","30","$UC, * $CHECK.IF.CATALOGED","Application Exit Procedure","L","","","EXIT.PROCEDURE","N","","","","","","","","","","","","15","","","","","30L","","","","","","","","30","","","","","","","This cataloged subroutine will be run immediately after, the application completes and exits","","","","","","","","","","","","","","","APPL.CTL","APPLICATION_EXIT_PROC","","0","1990-04-13","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","APPL_CTL_SQL"
"APPLICATION.HIERARCHY","","","","","","","L","N","5","$UC","Hierarchy","L","","","CF","N","","","","","","","","","","","","4","","","","","5L","","","","","","","","5","","","","","","","The application chain from this application to UT.","","","","","","","","","","","","","","","APPL.CTL","APPLICATION_HIERARCHY","","0","1988-07-12","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","APPL_CTL_SQL"
"APPLICATION.LONG.NAME","","","","","","","D","N","20","$UC","Application Long Name","L","","","COLLEAGUE","N","","","","","","","","","","","","1","","","","","20L","","","","","","","","20","","","","","","","Descriptive name of an application.","","","","","","","","","","","","","","","APPL.CTL","APPLICATION_LONG_NAME","","0","1988-07-12","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","APPL_CTL_SQL"
"APPLICATION.MODULES","","","","","","","L","N","4","$UC","Modules","L","","","BGT","N","","","","","","","","","","","","7","","","","","4L","","","","","","","","4","","","","","","","This is the master list of valid modules for a given, application","","","","","","","","","","","","","","","APPL.CTL","APPLICATION_MODULES","","0","1989-10-20","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","APPL_CTL_SQL, BRAHMS"
"APPLICATION.OVERWRITE.VERS","","","","","","","L","N","6","","","L","","","3.5}3.6","N","","","","","","","","","","","","22","","","","","6L","","","","","","","","0","","","","","","","If this field is null, all dictionary items sent on a, release will by default be overwritten.  If there is one, or more version numbers here, then only those dict items, whose CDD elements indicate a version in this list will, be overwritten.","","","","","","","","","","","","","","","APPL.CTL","APPLICATION_OVERWRITE_VERS","","0","1993-05-12","ALEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","APPL_CTL_SQL"
"APPLICATION.PROTECT.PATH","","","","","","","D","N","35","$UC","","L","","","TOOL.REL>COLL.SYSTEM","N","","","","","","","","","","","","10","","","","","35L","","","","","","","","35","","","","","","","Path to the account where the live copies of the, modifiable RunTime files are kept.","","","","","","","","","","","","","","","APPL.CTL","APPLICATION_PROTECT_PATH","","0","1989-10-19","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","APPL_CTL_SQL"
