"DATA.ELEMENT","COMPUTED.COLUMN.CODE","CONVERTED.FROM","DATA.TYPE","DATABASE.USAGE.TYPE","DEFAULT.DISPLAY.SECURE","DEFAULT.DISPLAY.SIZE","DEFAULT.INPUT.PROMPT","DEFAULT.SAMPLE.DATA","DEFAULT.ZERO.PAD","DERIVED.SEC.PTR","DT1","DT2","DT3","DT4","DT5","ELEMENT.ASSOC.NAME","ELEMENT.ASSOC.TYPE","ELEMENT.POINTED.FROM","ELEMENT.POINTED.TO","FIELD.PLACEMENT","INFORM.CONVERSION.STRING","INFORM.FORMAT.STRING","MAXIMUM.STORAGE.SIZE","PURPOSE","REPORT.HEADER","SOURCE","TRUNCATION.FLAG","VALIDATION.TABLE","TOOLCDD.ADD.DATE","TOOLCDD.ADD.OPERATOR","TOOLCDD.CHANGE.DATE","TOOLCDD.CHANGE.OPERATOR","DataDatetime"
"LAST.WINDOW.ELEMENT","","","","A","N","28","To Field Name","","N","","","","","","","PRCSWNDW","D","","","7","","28L","0","Last field within the domain of a window","","TOOLPDEF","N","","1987-08-27","RGH","","","2020-06-01T17:13:41.811Z"
"LOG.FILE.NAME","","","","D","N","8","Transaction Log File","","N","","","","","","","","","","","32","","8L","0","Name of file to log file changes into if TX logging wanted","","TOOLFILE","N","","1987-10-09","RGH","","","2020-06-01T17:13:41.654Z"
"LOGICAL.FILE.ALIAS","","","","D","","12","","CHILD","","","","","","","","","","","","60","","12L","12","Alias for prefix used in naming logical views from this, pointer field","","TOOLCDD","","","1995-01-31","RGH","","","2020-06-01T17:13:41.951Z"
"LOGICAL.FILE.NAME","","","","K","N","8","Logical File Name LookUp","","N","","","","","","","","","","","0","","8L","32","Name by which file will be known to CDD","","TOOLFILE","N","","1987-08-21","RGH","","","2020-06-01T17:13:41.951Z"
"LOGICAL.OPERATORS","","","","A","N","3","","","N","","","","","","","VIEW.CONDITION","D","","","119","","3L","0","","","TOOLFILE","N","$VR.LOGICAL.OPERATORSS","1997-01-23","SLT","","","2020-06-01T17:13:41.373Z"
"LONG.FILE.NAME","","","","L","N","28","Long File Name","","N","","","","","","","","","","","1","","28L","0","List of full (alternate) descriptive names of a file., VOC entries made from these as of ENV3.1","","TOOLFILE","N","","1987-08-21","RGH","","","2020-06-01T17:13:41.717Z"
"LOOKUP.PROMPT","","","","D","","32","","Element LookUp","","","","","","","","","","","","59","","32L","60","Every key data element that has a LookUp PROMPT_WIDE, can have a text string defined here to use for the prompt.","","TOOLCDD","","","1994-05-20","ALEX","","","2020-06-01T17:13:41.295Z"
"MANUALLY.EDITTED.VIEW","","","","D","N","1","","Y","N","","","","","","","","","","","138","","1L","1","Flag to notify the View Builder program if a view has, been modified manually","","TOOLFILE","N","","1998-08-07","AS","","","2020-06-01T17:13:41.936Z"
"MAX.REPORT.COLUMNS","","","N","D","","3","[Maximum Columns]","132","","","N","0","N","N","","","","","","3","MD0","3R","3","When an upper limit on the number of characters to be, placed on a report line is needed, this field will, enforce that limit. Leaving this field null will allow, the run-time report processor to elect the best choice.","Max Cols","BPRCSDEF","N","","1989-04-07","RGH","","","2020-06-01T17:13:41.404Z"
"MAX.REPORT.LINES","","","N","D","","3","[Max Lines]","66","","","N","0","N","N","","","","","","2","MD0","3R","3","It is possible to force a page break after a certain, number of lines have been printed.  Use of this parameter, activates this service.  If null, the run-time report, processor will choose the most appropriate amount.","Max Lines","BPRCSDEF","N","","1989-04-07","RGH","","","2020-06-01T17:13:41.717Z"
"MAXIMUM.COMPOSIT.FIELD.SIZE","","","N","D","N","6","Maximum Composit Field Size","8192","N","","N","0","N","N","","","","","","141","MD0","6R","9","This value is used in database tuning to enable better, memory utilzation when Unidata records are being built, from SQL tables.  Space is reserved for 20 rows of data, from each multivalued/associated field.  This figure, reserved an absolute number of bytes without reference, to row counts.","Max Fld Size","TOOLFILE","N","","1998-12-18","RGH","","","2020-06-01T17:13:41.701Z"
"MAXIMUM.EXPECTED.ROW.SIZE","","","N","D","N","5","Maximum Expected Row Size","30","N","","N","0","N","N","","","","","","142","MD0","5R","9","Alternate spec for stating the maximum component field, size.  This value is multiplied by the lengths of all, MV fields to derive a longest field size.  This is, used to fine tune memory requirements in converting, records between Unidata and SQL databases","Max Rows","TOOLFILE","N","","1998-12-18","RGH","","","2020-06-01T17:13:41.482Z"
"MAXIMUM.STORAGE.SIZE","","","N","D","","5","Internal Size","","N","","N","0","Y","N","","","","","","3","MD0","5R","0","The maximum size this field should be when stored in a file","","TOOLCDD","","","1987-08-21","RGH","","","2020-06-01T17:13:41.732Z"
"MDEF.UNRELEASED.FILE","","","","K","","20","","","","","","","","","","","","","","0","","20L","0","","","MDEF.UNRELEASED","","","2002-05-14","JOSH","","","2020-06-01T17:13:42.014Z"
"MDEF.UNRELEASED.RECORD","","","","K","","40","","","","","","","","","","","","","","0","","40L","0","","","MDEF.UNRELEASED","","","2002-05-14","JOSH","","","2020-06-01T17:13:41.561Z"
"MDEF.USER.ID","","","","K","","30","","","","","","","","","","","","","","0","","30L","0","","","MDEF.USER","","","2002-05-14","JOSH","","","2020-06-01T17:13:41.904Z"
"MDEFUNREL.MOVEINFO","","","","L","","30","","","","","","","","","","","","","","1","","30L","0","","","MDEF.UNRELEASED","","","2002-05-14","JOSH","","","2020-06-01T17:13:42.045Z"
"MDEFUNREL.MPRTINFO","","","","L","","30","","","","","","","","","","","","","","2","","30L","0","","","MDEF.UNRELEASED","","","2002-05-14","JOSH","","","2020-06-01T17:13:41.670Z"
"MDEFUSER.MPRTINFO","","","","L","","20","","","","","","","","","","","","","","2","","20L","0","","","MDEF.USER","","","2002-05-14","JOSH","","","2020-06-01T17:13:41.326Z"
"MDEFUSER.STATUS","","","","D","","1","","","","","","","","","","","","","","1","","1L","0","","","MDEF.USER","","","2002-05-14","JOSH","","","2020-06-01T17:13:41.654Z"
"MI.CALC.COL","","","","L","","3","","","","","","","","","","","","","","26","","3R","0","","","MSP.INQ","","","1994-02-02","ALEX","","","2020-06-01T17:13:41.732Z"
"MI.CALC.CONV","","","","L","","10","","","","","","","","","","","","","","23","","10L","0","","","MSP.INQ","","","1994-02-02","ALEX","","","2020-06-01T17:13:41.764Z"
"MI.CALC.FORMAT","","","","L","","10","","","","","","","","","","","","","","24","","10L","0","","","MSP.INQ","","","1994-02-02","ALEX","","","2020-06-01T17:13:41.545Z"
"MI.CALC.LINE","","","","L","","3","","","","","","","","","","","","","","25","","3R","0","","","MSP.INQ","","","1994-02-02","ALEX","","","2020-06-01T17:13:41.811Z"
"MI.CALC.TABLE","","","","L","","32","","","","","","","","","","","","","","22","","32L","0","","","MSP.INQ","","","1994-02-02","ALEX","","","2020-06-01T17:13:41.670Z"
"MI.FIELD.COL","","","","A","","3","","","","","","","","","","MI.FIELDS","D","","","7","","3R","0","","","MSP.INQ","","","1994-02-02","ALEX","","","2020-06-01T17:13:41.576Z"
"MI.FIELD.CONVERT","","","","A","","10","","","","","","","","","","MI.FIELDS","D","","","8","","10L","0","","","MSP.INQ","","","1994-02-02","ALEX","","","2020-06-01T17:13:42.045Z"
"MI.FIELD.FORMAT","","","","A","","10","","","","","","","","","","MI.FIELDS","D","","","9","","10L","0","","","MSP.INQ","","","1994-02-02","ALEX","","","2020-06-01T17:13:41.592Z"
"MI.FIELD.LINE","","","","A","","3","","","","","","","","","","MI.FIELDS","D","","","6","","3R","0","","","MSP.INQ","","","1994-02-02","ALEX","","","2020-06-01T17:13:41.982Z"
"MI.FIELD.MAX.VALUES","","","","A","","5","","","","","","","","","","MI.FIELDS","D","","","10","","5R","0","","","MSP.INQ","","","1994-02-02","ALEX","","","2020-06-01T17:13:41.326Z"
"MI.FIELD.NUMBER","","","","A","","3","","","","","","","","","","MI.FIELDS","D","","","5","","3R","0","","","MSP.INQ","","","1994-02-02","ALEX","","","2020-06-01T17:13:41.701Z"
"MI.FILE.NAME","","","","A","","32","","","","","","","","","","MI.FIELDS","K","","","4","","32L","0","","","MSP.INQ","","","1994-02-02","ALEX","","","2020-06-01T17:13:41.326Z"
"MI.IDESC.COL","","","","A","","3","","","","","","","","","","MI.FIELDS","D","","","21","","3R","0","","","MSP.INQ","","","1994-02-02","ALEX","","","2020-06-01T17:13:41.436Z"
"MI.IDESC.CONV","","","","A","","10","","","","","","","","","","MI.FIELDS","D","","","18","","10L","0","","","MSP.INQ","","","1994-02-02","ALEX","","","2020-06-01T17:13:42.045Z"
"MI.IDESC.FORMAT","","","","A","","10","","","","","","","","","","MI.FIELDS","D","","","19","","10L","0","","","MSP.INQ","","","1994-02-02","ALEX","","","2020-06-01T17:13:41.842Z"
"MI.IDESC.LINE","","","","A","","3","","","","","","","","","","MI.FIELDS","D","","","20","","3R","0","","","MSP.INQ","","","1994-02-02","ALEX","","","2020-06-01T17:13:42.076Z"
"MI.IDESC.NAME","","","","A","","32","","","","","","","","","","MI.FIELDS","D","","","17","","32L","0","","","MSP.INQ","","","1994-02-02","ALEX","","","2020-06-01T17:13:41.389Z"
"MI.KEY","","","","K","","32","","","","","","","","","","","","","","0","","32L","0","","","MSP.INQ","","","1994-01-31","ALEX","","","2020-06-01T17:13:41.373Z"
"MI.TEXT","","","","A","","70","","","","","","","","","","MI.TXT","K","","","1","","70L","0","","","MSP.INQ","","","1994-01-31","ALEX","","","2020-06-01T17:13:41.514Z"
"MI.TEXT.COL","","","","A","","3","","","","","","","","","","MI.TXT","D","","","3","","3R","0","","","MSP.INQ","","","1994-01-31","ALEX","","","2020-06-01T17:13:42.045Z"
"MI.TEXT.LINE","","","","A","","3","","","","","","","","","","MI.TXT","D","","","2","","3R","0","","","MSP.INQ","","","1994-01-31","ALEX","","","2020-06-01T17:13:41.779Z"
"MI.VERI.COL","","","","A","","3","","","","","","","","","","MI.FIELDS","D","","","16","","3R","0","","","MSP.INQ","","","1994-02-02","ALEX","","","2020-06-01T17:13:42.014Z"
"MI.VERI.CONV","","","","A","","10","","","","","","","","","","MI.FIELDS","D","","","13","","10L","0","","","MSP.INQ","","","1994-02-02","ALEX","","","2020-06-01T17:13:41.373Z"
"MI.VERI.FIELD","","","","A","","3","","","N","","","","","","","MI.FIELDS","D","","","12","","3R","0","","","MSP.INQ","","","1994-02-02","ALEX","","","2020-06-01T17:13:41.592Z"
"MI.VERI.FILE","","","","A","","32","","","","","","","","","","MI.FIELDS","D","","","11","","32L","0","","","MSP.INQ","","","1994-02-02","ALEX","","","2020-06-01T17:13:41.561Z"
"MI.VERI.FORMAT","","","","A","","10","","","","","","","","","","MI.FIELDS","D","","","14","","10L","0","","","MSP.INQ","","","1994-02-02","ALEX","","","2020-06-01T17:13:42.092Z"
"MI.VERI.LINE","","","","A","","3","","","","","","","","","","MI.FIELDS","D","","","15","","3R","0","","","MSP.INQ","","","1994-02-02","ALEX","","","2020-06-01T17:13:41.404Z"
"MIN.REPORT.COLS","","","N","D","","3","[Minimum Columns]","80","N","","N","0","N","N","","","","","","54","MD0","3R","3","This is the minimum number of physical columns needed by, this report to be useful.","MnC","BPRCSDEF","","","1989-04-10","RGH","","","2020-06-01T17:13:41.639Z"
"MIN.REPORT.LINES","","","N","D","","2","[Minimum Lines]","66","","","N","0","N","N","","","","","","53","MD0","2R","3","This is the minimum acceptable lines needed by this report","MnL","BPRCSDEF","","","1989-04-10","RGH","","","2020-06-01T17:13:41.436Z"
"MINIMIZE.SPACE.FLAG","","","","D","N","3","Minimize Space","Y","N","","","","","","","","","","","35","","3L","1","When a dynamic file is created, the MINIMIZE.SPACE option, can be invoked by setting this flag to 'Y'","","TOOLFILE","N","","1988-06-28","RGH","","","2020-06-01T17:13:41.326Z"
"MINIMUM.EXTENTS","","","N","D","N","5","Minimum Extents","10","N","","Y","0","N","N","","","","","","144","MD0,","5R","4","To hold the MINEXTENTS value for Oracle","","TOOLFILE","N","","1999-07-09","DWC","","","2020-06-01T17:13:41.732Z"
"MODIFIED.BY.XREF","","","","L","","15","","TOOL\TLDB02","","","","","","","","","","","","19","","15L","0","","","TOOLCDD","","","1988-10-20","DLE","","","2020-06-01T17:13:41.373Z"
"MP.CALC.COL","","","","L","","3","","","","","","","","","","","","","","40","","3R","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.701Z"
"MP.CALC.CONV","","","","L","","10","","","","","","","","","","","","","","37","","10L","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.389Z"
"MP.CALC.FORMAT","","","","L","","10","","","","","","","","","","","","","","38","","10L","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.654Z"
"MP.CALC.LINE","","","","L","","3","","","","","","","","","","","","","","39","","3R","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.420Z"
"MP.CALC.TABLE","","","","L","","32","","","","","","","","","","","","","","36","","32L","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:42.061Z"
"MP.CLEAR.FROM.LINE","","","","D","","3","","","","","","","","","","","","","","46","","3R","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.389Z"
"MP.DATA.FILE.LIST","","","","L","","32","","","","","","","","","","","","","","44","","32L","0","","","MSP.PAGE","","","1994-01-28","ALEX","","","2020-06-01T17:13:41.654Z"
"MP.ENTRY.SUB","","","","D","","32","","","","","","","","","","","","","","68","","32L","0","","","MSP.PAGE","","","1994-02-22","ALEX","","","2020-06-01T17:13:41.686Z"
"MP.EXIT.SUB","","","","D","","32","","","","","","","","","","","","","","69","","32L","0","","","MSP.PAGE","","","1994-02-22","ALEX","","","2020-06-01T17:13:41.561Z"
"MP.FIELD.COL","","","","A","","2","","","","","","","","","","MP.FIELDS","D","","","8","","2R","0","","","MSP.PAGE","","","1994-01-28","ALEX","","","2020-06-01T17:13:42.029Z"
"MP.FIELD.CONVERT","","","","A","","10","","","","","","","","","","MP.FIELDS","D","","","12","","10L","0","","","MSP.PAGE","","","1994-01-31","ALEX","","","2020-06-01T17:13:41.795Z"
"MP.FIELD.DEFAULT","","","","A","","32","","","","","","","","","","MP.FIELDS","D","","","22","","32L","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.326Z"
"MP.FIELD.FILL.CHAR","","","","A","","1","","","","","","","","","","MP.FIELDS","D","","","17","","1L","0","","","MSP.PAGE","","","1994-02-01","ALEX","","","2020-06-01T17:13:41.561Z"
"MP.FIELD.FORMAT","","","","A","","10","","","","","","","","","","MP.FIELDS","D","","","13","","10L","0","","","MSP.PAGE","","","1994-01-28","ALEX","","","2020-06-01T17:13:41.748Z"
"MP.FIELD.LINE","","","","A","","2","","","","","","","","","","MP.FIELDS","D","","","7","","2R","0","","","MSP.PAGE","","","1994-01-28","ALEX","","","2020-06-01T17:13:41.576Z"
"MP.FIELD.MASK","","","","A","","32","","","","","","","","","","MP.FIELDS","D","","","9","","32L","0","","","MSP.PAGE","","","1994-01-31","ALEX","","","2020-06-01T17:13:41.967Z"
"MP.FIELD.MATCH","","","","A","","12","","","","","","","","","","MP.FIELDS","D","","","20","","12L","0","","","MSP.PAGE","","","1994-01-31","ALEX","","","2020-06-01T17:13:41.592Z"
"MP.FIELD.MAX.RANGE","","","","A","","10","","","","","","","","","","MP.FIELDS","D","","","18","","10R","0","","","MSP.PAGE","","","1994-02-01","ALEX","","","2020-06-01T17:13:41.404Z"
"MP.FIELD.MAX.VALUES","","","","A","","3","","","","","","","","","","MP.FIELDS","D","","","11","","3R","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.857Z"
"MP.FIELD.MIN.RANGE","","","","A","","10","","","","","","","","","","MP.FIELDS","D","","","19","","10R","0","","","MSP.PAGE","","","1994-02-01","ALEX","","","2020-06-01T17:13:41.639Z"
"MP.FIELD.NUMBER","","","","A","","3","","","","","","","","","","MP.FIELDS","D","","","6","","3R","0","","","MSP.PAGE","","","1994-01-28","ALEX","","","2020-06-01T17:13:41.826Z"
"MP.FIELD.REQUIRED","","","","A","","3","","","","","","","","","","MP.FIELDS","D","","","14","","3L","1","","","MSP.PAGE","","","1994-01-28","ALEX","","","2020-06-01T17:13:41.467Z"
"MP.FIELD.SIZE","","","","A","","2","","","","","","","","","","MP.FIELDS","D","","","10","","2R","0","","","MSP.PAGE","","","1994-01-28","ALEX","","","2020-06-01T17:13:41.404Z"
"MP.FIELD.SKIP","","","","A","","3","","","","","","","","","","MP.FIELDS","D","","","23","","3L","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.467Z"
"MP.FIELD.UPPER.CASE","","","","A","","3","","","","","","","","","","MP.FIELDS","D","","","16","","3L","1","","","MSP.PAGE","","","1994-01-28","ALEX","","","2020-06-01T17:13:41.514Z"
"MP.FIELD.VALID.VALUES","","","","A","","12","","","","","","","","","","MP.FIELDS","D","","","21","","12L","0","","","MSP.PAGE","","","1994-01-31","ALEX","","","2020-06-01T17:13:41.373Z"
"MP.FILE.NAMES","","","","L","","32","","","","","","","","","","","","","","50","","32L","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:42.014Z"
"MP.FILE.NUMBER","","","","A","","3","","","","","","","","","","MP.FIELDS","K","","","5","","3R","0","","","MSP.PAGE","","","1994-01-28","ALEX","","","2020-06-01T17:13:41.576Z"
"MP.HELP.KEY","","","","A","","32","","","","","","","","","","MP.FIELDS","D","","","1","","32L","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.373Z"
"MP.IDESC.COL","","","","A","","3","","","","","","","","","","MP.FIELDS","D","","","34","","3R","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.889Z"
"MP.IDESC.CONV","","","","A","","10","","","","","","","","","","MP.FIELDS","D","","","31","","10L","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.670Z"
"MP.IDESC.FORMAT","","","","A","","10","","","","","","","","","","MP.FIELDS","D","","","32","","10L","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.967Z"
"MP.IDESC.LINE","","","","A","","3","","","","","","","","","","MP.FIELDS","D","","","33","","3R","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.701Z"
"MP.IDESC.NAME","","","","A","","32","","","","","","","","","","MP.FIELDS","D","","","30","","32L","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.811Z"
"MP.IDESC.VALID.NOT.NULL","","","","A","","3","","","","","","","","","","MP.FIELDS","D","","","35","","3L","1","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.467Z"
"MP.INQ.CALC.TABLE","","","","L","","32","","","","","","","","","","","","","","54","","32L","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.451Z"
"MP.INQ.FILE.NUM","","","","L","","3","","","","","","","","","","","","","","51","","3R","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.873Z"
"MP.INQ.IDESC.NAME","","","","L","","32","","","","","","","","","","","","","","53","","32L","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.998Z"
"MP.INQ.VERI.FILE","","","","L","","32","","","","","","","","","","","","","","52","","32L","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.951Z"
"MP.KEY","","","","K","","32","","","","","","","","","","","","","","0","","32L","0","","","MSP.PAGE","","","1994-01-28","ALEX","","","2020-06-01T17:13:41.920Z"
"MP.MAND.CTR.LIST","","","","A","","3","","","","","","","","","","MP.MAND","D","","","58","","3R","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.545Z"
"MP.MAND.FIELD.LIST","","","","A","","3","","","","","","","","","","MP.MAND","D","","","56","","3R","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.498Z"
"MP.MAND.FILE.LIST","","","","A","","3","","","","","","","","","","MP.MAND","D","","","57","","3R","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.904Z"
"MP.MAND.OPTION.LIST","","","","A","","3","","","","","","","","","","MP.MAND","K","","","55","","3R","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.998Z"
"MP.NUM.OPTIONS","","","","D","","3","","","","","","","","","","","","","","45","","3R","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.404Z"
"MP.POST.ENTRY.SUB","","","","A","","32","","","","","","","","","","MP.FIELDS","D","","","4","","32L","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.529Z"
"MP.POST.PROMPT.SUB","","","","D","","32","","","","","","","","","","","","","","63","","32L","0","","","MSP.PAGE","","","1994-02-22","ALEX","","","2020-06-01T17:13:41.373Z"
"MP.PRE.ENTRY.SUB","","","","A","","32","","","","","","","","","","MP.FIELDS","D","","","3","","32L","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.889Z"
"MP.PRE.PROMPT.SUB","","","","D","","32","","","","","","","","","","","","","","62","","32L","0","","","MSP.PAGE","","","1994-02-22","ALEX","","","2020-06-01T17:13:41.561Z"
"MP.SKIP.ON.NEW.REC","","","","A","","3","","","","","","","","","","MP.FIELDS","D","","","15","","3L","1","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.373Z"
"MP.SPECIAL.COL","","","","A","","3","","","","","","","","","","MP.SPECS","D","","","59","","3R","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.357Z"
"MP.SPECIAL.LINE","","","","A","","3","","","","","","","","","","MP.SPECS","D","","","60","","3R","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:42.029Z"
"MP.SPECIAL.TEXT","","","","A","","60","","","","","","","","","","MP.SPECS","K","","","61","","60L","0","","","MSP.PAGE","","","1994-01-28","ALEX","","","2020-06-01T17:13:41.920Z"
"MP.TEXT","","","","A","","70","","","","","","","","","","MP.TEXT","D","","","43","","70L","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.311Z"
"MP.TEXT.COL","","","","A","","3","","","","","","","","","","MP.TEXT","D","","","42","","3R","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:42.014Z"
"MP.TEXT.LINE","","","","A","","3","","","","","","","","","","MP.TEXT","K","","","41","","3R","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.404Z"
"MP.USER.FUNCTIONS","","","","A","","10","","","","","","","","","","MP.FUNCT","K","","","48","","10L","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:42.061Z"
"MP.USER.PROMPT","","","","D","","70","","","","","","","","","","","","","","47","","70L","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.982Z"
"MP.USER.SUBROUTINES","","","","A","","32","","","","","","","","","","MP.FUNCT","D","","","49","","32L","0","","","MSP.PAGE","","","1994-02-03","ALEX","","","2020-06-01T17:13:41.951Z"
"MP.VERI.COL","","","","A","","3","","","","","","","","","","MP.FIELDS","D","","","29","","3R","0","","","MSP.PAGE","","","1994-01-31","ALEX","","","2020-06-01T17:13:41.982Z"
"MP.VERI.CONV","","","","A","","10","","","","","","","","","","MP.FIELDS","D","","","26","","10L","0","","","MSP.PAGE","","","1994-01-31","ALEX","","","2020-06-01T17:13:41.826Z"
"MP.VERI.FIELD","","","","A","","3","","","","","","","","","","MP.FIELDS","D","","","25","","3R","0","","","MSP.PAGE","","","1994-01-31","ALEX","","","2020-06-01T17:13:41.998Z"
"MP.VERI.FILE","","","","A","","32","","","","","","","","","","MP.FIELDS","D","","","24","","32L","0","","","MSP.PAGE","","","1994-01-31","ALEX","","","2020-06-01T17:13:42.014Z"
"MP.VERI.FORMAT","","","","A","","10","","","","","","","","","","MP.FIELDS","D","","","27","","10L","0","","","MSP.PAGE","","","1994-01-31","ALEX","","","2020-06-01T17:13:41.389Z"
"MP.VERI.LINE","","","","A","","3","","","","","","","","","","MP.FIELDS","D","","","28","","3R","0","","","MSP.PAGE","","","1994-01-31","ALEX","","","2020-06-01T17:13:41.873Z"
"MP.WINDOW.KEY","","","","A","","3","","","","","","","","","","MP.FIELDS","D","","","2","","3L","0","","","MSP.PAGE","","","1994-01-28","ALEX","","","2020-06-01T17:13:41.498Z"
"MPRT.COMMENTS","","","","L","","72","","","","","","","","","","","","","","7","","72L","0","","","MPRTINFO","","","1994-06-29","CT7","","","2020-06-01T17:13:41.936Z"
"MPRT.DESCRIPTION","","","","D","","50","","","N","","","","","","","","","","","1","","50L","0","","","MPRTINFO","","","1994-06-29","CT7","","","2020-06-01T17:13:41.389Z"
"MPRT.ID","","","","K","","24","","","N","","","","","","","","","","","0","","24L","24","","","MPRTINFO","","","1994-06-29","CT7","","","2020-06-01T17:13:42.014Z"
"MPRT.MOVEINFO","","","","Q","","40","","","N","","","","","","","","","","MI.ID","2","","40L","0","","","MPRTINFO","","","1994-06-29","CT7","","","2020-06-01T17:13:41.373Z"
"MPRT.UNRELEASED.FILE","","","","K","","20","","","","","","","","","","","","","","0","","20L","0","","","MPRT.UNRELEASED","","","2002-05-14","JOSH","","","2020-06-01T17:13:41.561Z"
"MPRT.UNRELEASED.RECORD","","","","K","","40","","","","","","","","","","","","","","0","","40L","0","","","MPRT.UNRELEASED","","","2002-05-14","JOSH","","","2020-06-01T17:13:41.623Z"
"MPRTINFO.ADD.DATE","","","","D","","10","","","","","","","","","","","","","","4","D4/","10R","0","","","MPRTINFO","","","1994-06-29","CT7","","","2020-06-01T17:13:41.998Z"
"MPRTINFO.ADD.OPERATOR","","","","D","","10","","","","","","","","","","","","","","3","","10L","0","","","MPRTINFO","","","1994-06-29","CT7","","","2020-06-01T17:13:41.842Z"
"MPRTINFO.CHANGE.DATE","","","","D","","10","","","","","","","","","","","","","","6","D4/","10R","0","","","MPRTINFO","","","1994-06-29","CT7","","","2020-06-01T17:13:41.514Z"
"MPRTINFO.CHANGE.OPERATOR","","","","D","","10","","","","","","","","","","","","","","5","","10L","0","","","MPRTINFO","","","1994-06-29","CT7","","","2020-06-01T17:13:41.545Z"
"MPRTUNREL.MOVEINFO","","","","L","","30","","","","","","","","","","","","","","1","","30L","0","","","MPRT.UNRELEASED","","","2002-05-14","JOSH","","","2020-06-01T17:13:41.717Z"
"MPRTUNREL.MPRTINFO","","","","L","","30","","","","","","","","","","","","","","2","","30L","0","","","MPRT.UNRELEASED","","","2002-05-14","JOSH","","","2020-06-01T17:13:41.311Z"
"MPRTUSER.STATUS","","","","D","","25","MPRT Status","","N","","","","","","","","","","","4","","25L","1","","","MPRT.USER","","","2002-05-10","JOSH","","","2020-06-01T17:13:41.857Z"
"MSP.HELP.ID","","","","K","","32","","","","","","","","","","","","","","0","","32L","0","","","MSP.HELP","","","1994-02-21","ALEX","","","2020-06-01T17:13:41.904Z"
"MSP.HELP.TEXT","","","","L","","32","","","","","","","","","","","","","","2","","32L","0","","","MSP.HELP","","","1994-02-21","ALEX","","","2020-06-01T17:13:41.670Z"
"MSP.HELP.XREF","","","","L","","32","","","","","","","","","","","","","","1","","32L","0","","","MSP.HELP","","","1994-02-21","ALEX","","","2020-06-01T17:13:41.795Z"
"MT.KEY","","","","K","","32","","","","","","","","","","","","","","0","","32L","0","","","MSP.TEXT","","","1994-01-31","ALEX","","","2020-06-01T17:13:41.779Z"
"MT.TEXT","","","","L","","80","","","","","","","","","","","","","","1","","80L","0","","","MSP.TEXT","","","1994-01-31","ALEX","","","2020-06-01T17:13:41.404Z"
