"DATA.ELEMENT","COMPUTED.COLUMN.CODE","CONVERTED.FROM","DATA.TYPE","DATABASE.USAGE.TYPE","DEFAULT.DISPLAY.SECURE","DEFAULT.DISPLAY.SIZE","DEFAULT.INPUT.PROMPT","DEFAULT.SAMPLE.DATA","DEFAULT.ZERO.PAD","DERIVED.SEC.PTR","DT1","DT2","DT3","DT4","DT5","ELEMENT.ASSOC.NAME","ELEMENT.ASSOC.TYPE","ELEMENT.POINTED.FROM","ELEMENT.POINTED.TO","FIELD.PLACEMENT","INFORM.CONVERSION.STRING","INFORM.FORMAT.STRING","MAXIMUM.STORAGE.SIZE","PURPOSE","REPORT.HEADER","SOURCE","TRUNCATION.FLAG","VALIDATION.TABLE","TOOLCDD.ADD.DATE","TOOLCDD.ADD.OPERATOR","TOOLCDD.CHANGE.DATE","TOOLCDD.CHANGE.OPERATOR","DataDatetime"
"APPLICATION.LONG.NAME","","","","D","N","20","Application Long Name","COLLEAGUE","N","","","","","","","","","","","1","","20L","20","Descriptive name of an application.","","APPL.CTL","N","","1988-07-12","RGH","","","2020-06-01T17:13:41.498Z"
"APPLICATION.MODULES","","","","L","N","4","Modules","BGT","N","","","","","","","","","","","7","","4L","4","This is the master list of valid modules for a given, application","","APPL.CTL","N","","1989-10-20","RGH","","","2020-06-01T17:13:42.076Z"
"APPLICATION.OVERWRITE.VERS","","","","L","N","6","","3.5}3.6","N","","","","","","","","","","","22","","6L","0","If this field is null, all dictionary items sent on a, release will by default be overwritten.  If there is one, or more version numbers here, then only those dict items, whose CDD elements indicate a version in this list will, be overwritten.","","APPL.CTL","N","","1993-05-12","ALEX","","","2020-06-01T17:13:41.951Z"
"APPLICATION.PROTECT.PATH","","","","D","N","35","","TOOL.REL>COLL.SYSTEM","N","","","","","","","","","","","10","","35L","35","Path to the account where the live copies of the, modifiable RunTime files are kept.","","APPL.CTL","N","","1989-10-19","RGH","","","2020-06-01T17:13:41.389Z"
"APPLICATION.SHORT.NAME","","","","K","N","6","Application Short Name","COLL","N","","","","","","","","","","","0","","6L","6","The identifier for an application.","","APPL.CTL","N","","1988-07-12","RGH","","","2020-06-01T17:13:41.357Z"
"APPLICATION.TOOL.PATH","","","","D","N","35","Remote Path to ENVISION Account","TOOL.REL>ENVISION","N","","","","","","","","","","","9","","35L","35","Path this application should use to find the master, toolset account (ENVISION).","","APPL.CTL","N","","1989-10-18","RGH","","","2020-06-01T17:13:41.857Z"
"APPLICATION.TOP.RIGHT.HDR","","","","D","N","21","Menu's Top Right Header","General Ledger","N","","","","","","","","","","","3","","21L","30","The string to be placed in an application's top right, corner.","","APPL.CTL","N","","1988-07-12","RGH","","","2020-06-01T17:13:41.389Z"
"APPLICATION.UT.PATH","","","","D","N","35","Remote Path to (UT)ilities Account","TOOL.REL>UT2","N","","","","","","","","","","","8","","35L","35","Path to the master account for UT","","APPL.CTL","N","","1989-10-18","RGH","","","2020-06-01T17:13:41.811Z"
"APPLICATION.VERSION","","","","D","N","8","Current Version Number","10.0","N","","","","","","","","","","","5","","8L","0","","","APPL.CTL","N","","1988-07-12","RGH","","","2020-06-01T17:13:41.311Z"
"APPLPRM.DATA.REMOTE","","","","D","","35","REMOTES file path to DATA files","","","","","","","","","","","","","6","","35L","35","This field store the default path where application data, files are to be created.","","APPLPRM","","","1990-04-18","ALEX","","","2020-06-01T17:13:41.795Z"
